ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic,PCAccess,OpSystem,Linux,iPod
79,Dorm,Verizon,very long,Visa,High ,3.4,none,two,two,Very new,Good,liberal,Not religious,None,Never,Campus store,NO,Neither,Never,Mac,What's Linux?,iPod only
80,Dorm,Verizon,average,Visa,Low,4,short,two,two,Very Old,Good,somewhat liberal,Not religious,Fluent,Regularly,On-line,NO,Strongly Agree,Always,Windows,No,iPod only
81,Share Apt,T-Mobile,long ,Visa,None,3.56,long,two,two,Very Old,Good,somewhat liberal,religious,Fluent,Never,Campus store,NO,Somehwhat agree,Always,Windows,What's Linux?,Both
82,Dorm,T-Mobile,very long,Visa,High ,2.9,moderate,four,four,Fairly new,Somewhat good,neither,somewhat religious,Slight,Occasionally,On-line,YES,Agree,Always,Windows,No,iPod only
83,Dorm,Cingular,average,Visa,Moderate,2.531,short,four,three,Fairly new,Very good,liberal,very religious,Slight,Occasionally,Campus store,NO,Strongly Agree,Often,Mac,What's Linux?,iPod only
84,Dorm,Cingular,very long,Visa,Very high ,3.862,none,two,two,New,Somewhat good,somewhat liberal,Not religious,Moderate,Occasionally,Campus store,NO,Strongly Agree,Always,Mac,What's Linux?,iPod only
85,Dorm,T-Mobile,short,None,None,3.4,moderate,two,two,Very Old,Somewhat good,liberal,Not religious,Fluent,Occasionally,On-line,YES,Somewhat agree,Always,Windows,No,Both
86,Share Apt,Verizon,long ,Visa,High ,3.2,none,three,three,New,Good,somewhat liberal,somewhat religious,Slight,Occasionally,Campus store,NO,Somewhat agree,Always,Mac,No,iPod only
87,Dorm,Sprint,average,Visa,Very high ,3.6,none,three,three,Very new,Good,neither,somewhat religious,None,Occasionally,Campus store,NO,Somewhat agree,Always,Windows,No,iPod only
88,Share Apt,Verizon,long ,Visa,Moderate,3.5,none,two,two,Old,Good,somewhat conservative,Not religious,Slight,Occasionally,Campus store,NO,Neither,Never,Windows,No,iPod only
89,Parents,T-Mobile,very short,Visa,High ,2.45,long,three,three,Fairly old,Very good,liberal,somewhat religious,Fluent,Occasionally,Other retail,NO,Somehwhat agree,Often,Windows,No,Neither
90,Dorm,Verizon,average,Visa,Moderate,3.8,none,three,three,Old,Very good,neither,very religious,Slight,Occasionally,Campus store,NO,Strongly Agree,Always,Windows,What's Linux?,iPod only
91,Dorm,Cingular,very long,Mastercard,Moderate,3.29,none,two,one,Very Old,Good,neither,very religious,Slight,Never,On-line,NO,Somewhat agree,Always,Windows,Yes,iPod only
92,Share Apt,Sprint,long ,Mastercard,None,3.9,none,two,three,Very new,Good,neither,Not religious,Fluent,Occasionally,On-line,NO,Somewhat agree,Always,Windows,Yes,MP3 only
93,Dorm,Cingular,long ,Visa,None,3,none,two,two,Fairly old,Somewhat good,somewhat liberal,religious,Moderate,Occasionally,Other retail,NO,Somehwhat agree,Always,Windows,No,iPod only
94,Dorm,Cingular,very short,Mastercard,Low,3.1,none,two,two,Very Old,Good,neither,Not religious,Slight,Never,Campus store,NO,Somehwhat agree,Always,Windows,No,iPod only
