ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic?,PCAccess,OpSystem,Linux?,iPod?
74,Dorm,Verizon,950,Visa,200,3.4,0,2,2,5,5.27,1.9,3,Moderate,Occasionally,Campus store,0,1.2,Always,Windows,What's Linux?,iPod only
75,Dorm,Cingular,250,Visa,500,2.76,0,3,4,10,5.53,4.43,2,Slight,Occasionally,Other retail,1,6.67,Always,Windows,What's Linux?,iPod only
76,Dorm,T-Mobile,100,Visa,198,3.95,0,2,2,10,6.27,3.17,55,Fluent,Occasionally,Campus store,0,2,Always,Windows,What's Linux?,iPod only
77,Dorm,Verizon,1800,Visa,700,2.8,0,3,3,1,5.3,3.97,4,Slight,Occasionally,Campus store,0,2.73,Always,Mac,No,iPod only
78,Share Apt,Cingular,350,Mastercard,80,3.15,0,2,3,15,6,4,2,Moderate,Occasionally,Campus store,0,5.57,Always,Windows,No,iPod only
79,Dorm,Verizon,900,Visa,500,3.4,0,2,2,0,6.2,5.83,0,None,Never,Campus store,0,4.1,Never,Mac,What's Linux?,iPod only
80,Dorm,Verizon,450,Visa,44.48,4,6,2,2,12,6.2,4.6,0,Fluent,Regularly,On-line,0,1.13,Always,Windows,No,iPod only
81,Share Apt,T-Mobile,500,Visa,0,3.56,27,2,2,12,5.97,4.97,10,Fluent,Never,Campus store,0,3.43,Always,Windows,What's Linux?,Both
82,Dorm,T-Mobile,1524,Visa,391,2.9,15,4,4,5,5.43,4,4,Slight,Occasionally,On-line,1,5.7,Always,Windows,No,iPod only
83,Dorm,Cingular,400,Visa,200,2.531,5,4,3,5,6.97,5.77,20,Slight,Occasionally,Campus store,0,1.37,Often,Mac,What's Linux?,iPod only
84,Dorm,Cingular,800,Visa,2500,3.862,0,2,2,3,5.3,4.57,1,Moderate,Occasionally,Campus store,0,1.1,Always,Mac,What's Linux?,iPod only
85,Dorm,T-Mobile,200,None,0,3.4,15,2,2,14,5.17,5.87,0,Fluent,Occasionally,On-line,1,4.93,Always,Windows,No,Both
86,Share Apt,Verizon,500,Visa,300,3.2,0,3,3,1.5,5.67,5.33,2,Slight,Occasionally,Campus store,0,4.8,Always,Mac,No,iPod only
87,Dorm,Sprint,300,Visa,750,3.6,0,3,3,1,5.5,4,2,None,Occasionally,Campus store,0,5,Always,Windows,No,iPod only
88,Share Apt,Verizon,700,Visa,100,3.5,0,2,2,9,5.77,3.17,0,Slight,Occasionally,Campus store,0,4.03,Never,Windows,No,iPod only
89,Parents,T-Mobile,90,Visa,500,2.45,25,3,3,6,6.97,5.97,2,Fluent,Occasionally,Other retail,0,3,Often,Windows,No,Neither
90,Dorm,Verizon,450,Visa,100,3.8,0,3,3,8,6.5,4,15,Slight,Occasionally,Campus store,0,1.13,Always,Windows,What's Linux?,iPod only
91,Dorm,Cingular,1500,Mastercard,100,3.29,0,2,1,34,6.07,4.4,40,Slight,Never,On-line,0,4.83,Always,Windows,Yes,iPod only
92,Share Apt,Sprint,600,Mastercard,0,3.9,0,2,3,1,6.07,4.37,0,Fluent,Occasionally,On-line,0,4.87,Always,Windows,Yes,MP3 only
93,Dorm,Cingular,600,Visa,0,3,0,2,2,6,5.1,5.43,5,Moderate,Occasionally,Other retail,0,3.07,Always,Windows,No,iPod only
94,Dorm,Cingular,80,Mastercard,20,3.1,0,2,2,12,6.37,4.23,0,Slight,Never,Campus store,0,2.9,Always,Windows,No,iPod only
95,Dorm,Cingular,500,Visa,120,3.65,12,2,2,10,5.87,5.87,40,Fluent,Occasionally,On-line,0,2.2,Always,Windows,What's Linux?,Neither
96,Parents,Sprint,1000,Visa,1000,2.8,15,2,2,2,5.5,5.63,0,Slight,Never,Campus store,0,1.8,Often,Windows,No,Neither
97,Dorm,Cingular,800,Visa,4000,3.4,0,3,1,5,5.73,3.17,2,Slight,Never,Campus store,0,2.7,Always,Mac,What's Linux?,iPod only
98,Dorm,Cingular,300,Mastercard,300,3.2,9,2,2,15,5.97,1.93,5,Slight,Regularly,Campus store,0,3,Always,Windows,What's Linux?,Neither
99,Dorm,Other,756,Visa,341.84,3,12,3,4,12,6.07,3.4,1,Slight,Occasionally,On-line,0,1.53,Always,Windows,What's Linux?,iPod only
100,Dorm,Sprint,4280,Visa,1200,3.2,30,2,3,4,5.73,5.13,60,Moderate,Regularly,Campus store,0,1.93,Always,Windows,What's Linux?,Both
101,Dorm,Cingular,300,Visa,100,2,0,2,2,3,5.6,2.07,5,Slight,Occasionally,Campus store,0,4.33,Always,Windows,No,iPod only
102,Parents,Verizon,350,Amex,80,3.85,35,2,2,1,6.03,6,3,Fluent,Occasionally,Campus store,0,2,Always,Windows,Yes,MP3 only
103,Share Apt,Cingular,1781,Visa,977.04,3.3,35,2,3,9,6,6,0,Moderate,Occasionally,Campus store,0,1,Always,Windows,What's Linux?,iPod only
104,Dorm,Cingular,400,Visa,149.63,3.9,16,3,3,12,6,2,40,Moderate,Occasionally,Other retail,0,2,Always,Windows,What's Linux?,iPod only
105,Dorm,Verizon,764,Amex,615.09,3.75,15,2,2,11,6.4,2.6,2,Moderate,Occasionally,Other student,0,1.97,Always,Windows,No,iPod only
106,Dorm,Cingular,300,Visa,456.87,2.88,0,2,2,1,6.17,4,10,Moderate,Occasionally,Campus store,0,2.2,Always,Mac,Yes,Both
107,Dorm,Verizon,450,Visa,70,2.85,0,2,2,7,4.5,4.83,0,Slight,Never,Campus store,0,3.13,Always,Windows,No,iPod only
108,Dorm,Sprint,100,Visa,185,2.99,16,3,3,14,4.5,4,6,Moderate,Occasionally,On-line,0,2,Always,Windows,No,Both
109,Share Apt,Verizon,1356,Mastercard,300,2,5,3,3,10,4,4.5,5,Moderate,Occasionally,Other retail,0,7,Always,Windows,Yes,iPod only
110,Share Apt,T-Mobile,500,Visa,497.13,3.47,17,2,2,13,5.9,4.13,4,Moderate,Occasionally,On-line,1,5.13,Always,Windows,What's Linux?,iPod only
